country_id,country,GEOLEVEL1,province,cohort,primary_educ,higher_educ,tertiary_educ,n,1a_distance-to-the-nearest-city,1b_name-of-the-nearest-city,2a_elevation-sd,2b_elevation-mean,2c_elevation-min,2d_elevation-max,2e_elevation-valid-pixels,3a_average-annual-precipitation-mm,3b_annual-precipitation-min-mm,3c_annual-precipitation-max-mm,3d_annual-precipitation-sd-mm,3e_annual-precipitation-valid-pixels,4a_average-annual-temperature-c,4b_annual-temperature-min-c,4c_annual-temperature-max-c,4d_annual-temperature-sd-c,5_area-km-2,6_river,7_sea,8_border,9_latitude,10_longitude,11_caloric_suitability_average,12_oil-surface-share,13_gold-deposit,14a_nighttime_light_intensity_average_2000,14b_nighttime_light_intensity_average_2012,15_railway,16a_mission-dummy,16b_distance-to-nearest-mission-km,16e_25-km-mission-exposure-buffer,16f_mission-count-within-25km-centroid,16g_mission-count-within-50km-centroid,16h_mission-count-within-75km-centroid,16i_mission-count-within-100km-centroid,16j_mission-count-total,16k_mission-station-density
1,benin,204001,Alibori,1915,0.002717391304347826,0.0009057971014492754,0.0,1104,315.7411284925201,Sokoto,41.24800671853644,265.0,168.0,333.0,103,911.1553398058252,646.0,1057.0,114.20963158689652,103,27.934757343773704,26.900144577026367,29.044588088989254,0.6154288104010638,26816.528065744656,1,0,1,11.324537177940773,2.897403478704802,4003.505460357666,0.0,0,6.96212100982666,8.202020645141602,0,0,231.66302679127517,0.0,0,0,0,0,0,0.0
1,benin,204002,Atacora,1915,0.0012106537530266344,0.0,0.0,1652,373.3858716519603,Iseyin,104.5321444090435,307.2073170731707,141.0,546.0,82,1041.3536585365853,878.0,1193.0,86.4756235145192,82,27.50192379369968,26.1460018157959,28.815832138061523,0.7910562690571945,20716.932436159223,0,0,1,10.684670261423204,1.575623537477644,4295.988332801606,0.0,0,8.074073791503906,9.27464771270752,0,0,199.48811051823145,0.0,0,0,0,0,0,0.0
1,benin,204003,Atlantique,1915,0.0333716915995397,0.0030686612965093976,0.0003835826620636747,2607,42.290666695850405,Porto Novo,27.975132255118258,36.94444444444444,3.0,102.0,18,1085.7222222222222,987.0,1201.0,60.42792360008148,18,27.23116355472141,27.06483459472656,27.473709106445312,0.1306271234190618,3148.242328156205,0,1,0,6.613548955406543,2.21453421939166,3522.201220703125,0.0,0,8.5958251953125,12.807332038879396,1,1,23.714330967414355,0.5033222334558249,1,5,10,16,2,0.0006352751127551
1,benin,204004,Borgou,1915,0.002081887578070784,0.0,0.0,1441,221.36200672398328,Iseyin,39.75507539192292,342.0,256.0,464.0,103,1071.2135922330096,1020.0,1136.0,23.683450649529043,103,26.57437172676753,25.86569023132324,27.18577003479004,0.2871029142991653,25565.59536932945,0,0,1,9.79625416772478,2.7713410058090853,4176.628527382944,0.0,0,10.251121520996094,13.032154083251951,1,0,141.60969890045266,0.0,0,0,0,0,0,0.0
1,benin,204005,Collines,1915,0.014357501794687724,0.0007178750897343862,0.0,1393,107.03565618529665,Abomey,54.6169972525851,201.9833333333333,91.0,300.0,60,1060.7666666666669,1005.0,1141.0,33.11714896478191,60,26.98593587875366,26.44758415222168,27.54981231689453,0.3116645655349564,13993.957276118785,0,0,1,8.136834782865934,2.206505771847065,3688.9762686270255,0.0,0,5.765100479125977,6.760000228881836,1,0,103.90935492319366,0.0,0,0,0,0,0,0.0
1,benin,204012,Zou,1915,0.019964973730297722,0.0024518388791593695,0.0,2855,11.517072593885665,Abomey,48.54219478511672,104.96153846153848,23.0,195.0,26,1042.576923076923,989.0,1145.0,34.56562663078305,26,27.268632081838756,26.9277286529541,27.571060180664062,0.1854002830752794,5284.404667442954,0,0,1,7.278233331033497,2.1074301726721343,3522.4691375248017,0.0,0,8.310218811035156,9.927499771118164,1,1,11.250811247630612,0.4692451024554435,1,2,2,5,1,0.0001892360753825
1,benin,204001,Alibori,1925,0.010684798445847498,0.0024283632831471587,0.00048567265662943174,2059,315.7411284925201,Sokoto,41.24800671853644,265.0,168.0,333.0,103,911.1553398058252,646.0,1057.0,114.20963158689652,103,27.934757343773704,26.900144577026367,29.044588088989254,0.6154288104010638,26816.528065744656,1,0,1,11.324537177940773,2.897403478704802,4003.505460357666,0.0,0,6.96212100982666,8.202020645141602,0,0,231.66302679127517,0.0,0,0,0,0,0,0.0
1,benin,204002,Atacora,1925,0.007768150582611294,0.0023902001792650133,0.00029877502240812666,3347,373.3858716519603,Iseyin,104.5321444090435,307.2073170731707,141.0,546.0,82,1041.3536585365853,878.0,1193.0,86.4756235145192,82,27.50192379369968,26.1460018157959,28.815832138061523,0.7910562690571945,20716.932436159223,0,0,1,10.684670261423204,1.575623537477644,4295.988332801606,0.0,0,8.074073791503906,9.27464771270752,0,0,199.48811051823145,0.0,0,0,0,0,0,0.0
1,benin,204006,Couffo,1915,0.0049382716049382715,0.0,0.0,1215,37.28549607668226,Abomey,47.22758139524449,117.66666666666669,39.0,192.0,18,1013.9444444444443,987.0,1048.0,18.89289173273089,18,27.013625568813747,26.87555885314941,27.17064476013184,0.0963925809502457,2376.7458057158883,0,0,1,6.996912955635301,1.7822525610043036,3505.929969200721,0.0,0,5.140127182006836,6.63095235824585,1,0,44.408739127771504,0.0460556719303439,0,2,3,16,0,0.0
1,benin,204003,Atlantique,1925,0.05649364185949552,0.009380863039399626,0.0016677089847821555,4797,42.290666695850405,Porto Novo,27.975132255118258,36.94444444444444,3.0,102.0,18,1085.7222222222222,987.0,1201.0,60.42792360008148,18,27.23116355472141,27.06483459472656,27.473709106445312,0.1306271234190618,3148.242328156205,0,1,0,6.613548955406543,2.21453421939166,3522.201220703125,0.0,0,8.5958251953125,12.807332038879396,1,1,23.714330967414355,0.5033222334558249,1,5,10,16,2,0.0006352751127551
1,benin,204007,Donga,1915,0.005106382978723404,0.001702127659574468,0.0,1175,239.3592643510598,Abomey,59.43651202701683,348.6470588235294,194.0,451.0,51,1132.2941176470588,1013.0,1293.0,63.37665003232257,51,26.50327121510225,26.00745964050293,27.1510009765625,0.2511994017016596,11102.32654013522,0,0,1,9.322826475562794,1.8079604698487952,3887.488410608092,0.0,0,7.083333492279053,9.829268455505373,0,0,183.77956521330103,0.0,0,0,0,0,0,0.0
1,benin,204004,Borgou,1925,0.013109978150036417,0.003641660597232338,0.0003641660597232338,2746,221.36200672398328,Iseyin,39.75507539192292,342.0,256.0,464.0,103,1071.2135922330096,1020.0,1136.0,23.683450649529043,103,26.57437172676753,25.86569023132324,27.18577003479004,0.2871029142991653,25565.59536932945,0,0,1,9.79625416772478,2.7713410058090853,4176.628527382944,0.0,0,10.251121520996094,13.032154083251951,1,0,141.60969890045266,0.0,0,0,0,0,0,0.0
1,benin,204005,Collines,1925,0.027203065134099615,0.0072796934865900385,0.0007662835249042146,2610,107.03565618529665,Abomey,54.6169972525851,201.9833333333333,91.0,300.0,60,1060.7666666666669,1005.0,1141.0,33.11714896478191,60,26.98593587875366,26.44758415222168,27.54981231689453,0.3116645655349564,13993.957276118785,0,0,1,8.136834782865934,2.206505771847065,3688.9762686270255,0.0,0,5.765100479125977,6.760000228881836,1,0,103.90935492319366,0.0,0,0,0,0,0,0.0
