country_id,country,GEOLEVEL1,province,cohort,primary_educ,higher_educ,tertiary_educ,n,1a_distance-to-the-nearest-city,1b_name-of-the-nearest-city,2a_elevation-sd,2b_elevation-mean,2c_elevation-min,2d_elevation-max,2e_elevation-valid-pixels,3a_average-annual-precipitation-mm,3b_annual-precipitation-min-mm,3c_annual-precipitation-max-mm,3d_annual-precipitation-sd-mm,3e_annual-precipitation-valid-pixels,4a_average-annual-temperature-c,4b_annual-temperature-min-c,4c_annual-temperature-max-c,4d_annual-temperature-sd-c,5_area-km-2,6_river,7_sea,8_border,9_latitude,10_longitude,11_caloric_suitability_average,12_oil-surface-share,13_gold-deposit,14_nighttime_light_intensity_average_2000,14_nighttime_light_intensity_average_2012,15_railway,16a_mission-dummy,16b_distance-to-nearest-mission-km,16e_25-km-mission-exposure-buffer,16f_mission-count-within-25km-centroid,16g_mission-count-within-50km-centroid,16h_mission-count-within-75km-centroid,16i_mission-count-within-100km-centroid,16j_mission-count-total,16k_mission-station-density
6,ghana,288003,Greater Accra,1955,0.7499522529272629,0.6617303539159946,0.10777616172300822,68067,32.02097571155555,Accra,55.25394342387599,50.458333333333336,0.0,207.0,24.0,1032.75,869.0,1307.0,101.3369996595518,24,27.117344617843628,25.900957107543945,27.870309829711918,0.5623635105997906,3689.114288652242,1.0,1.0,0.0,5.802907916731152,0.0465175510247211,3563.9541413063225,0.0,0.0,21.3123779296875,29.42433357238769,1.0,1.0,14.75902326796114,0.6542739748471229,9.0,16.0,19.0,21.0,10.0,0.0027106777447259
6,ghana,288004,Volta,1955,0.5374832983393777,0.4213351784691735,0.06470700515365528,41912,129.51243710745385,Dzodze,131.9693356813743,145.05102040816325,1.0,630.0,98.0,1227.8979591836735,908.0,1561.0,156.5096652030076,98,27.12544532698028,24.75762367248535,27.97393798828125,0.764769098965387,20904.171779774875,1.0,1.0,1.0,7.236325412561219,0.4025920233585545,3555.739105709016,0.0,0.0,6.322702407836914,8.477664947509766,1.0,1.0,10.69212119290051,0.3785752911384432,2.0,7.0,10.0,13.0,8.0,0.0003826987303912
6,ghana,288005,Eastern,1955,0.6229616178879157,0.49152602720216476,0.05913978494623656,56172,88.50650291243073,Accra,93.11941973273323,172.65384615384616,38.0,480.0,78.0,1353.948717948718,974.0,1596.0,135.54674635370003,78,26.321950814662834,23.71581268310547,27.50639915466309,0.8783407825964615,18965.27353149446,1.0,0.0,0.0,6.414406061171103,-0.4488584892941825,3213.8506410660284,0.0,1.0,6.93894624710083,9.290949821472168,1.0,1.0,19.68193102397917,0.4589181986512539,1.0,4.0,11.0,23.0,10.0,0.0005272795028974
6,ghana,288006,Ashanti,1955,0.6136340826977118,0.5083676234443998,0.06815786832597351,79712,22.568805973815724,Kumasi,70.94889401625777,210.65384615384616,102.0,394.0,104.0,1315.6153846153843,1183.0,1518.0,81.78987003435502,104,26.07093347035921,23.830101013183597,27.290082931518555,0.6664408154495721,24379.5073904453,0.0,0.0,0.0,6.796133239495604,-1.4573384398728892,2960.9068496436403,0.0,1.0,9.549213409423828,10.822904586791992,1.0,1.0,9.112915484038709,0.2391755152213145,3.0,6.0,6.0,9.0,6.0,0.0002461083361492
6,ghana,288007,Brong Ahafo,1955,0.4587987153060735,0.3625904798427688,0.0554863141747759,41722,113.03182076175084,Kumasi,81.05819089653238,195.0705882352941,80.0,444.0,170.0,1187.1352941176472,1015.0,1476.0,91.46757343244312,170,26.84241727941177,24.97087287902832,28.084875106811523,0.7604159957803117,39912.726954893646,1.0,0.0,1.0,7.698620793655691,-1.665068573104692,3437.2133076130845,0.0,1.0,7.092945098876953,8.591090202331543,0.0,0.0,96.25272437928425,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,ghana,288008,Northern,1955,0.12804414966330818,0.10860209609640019,0.03159333704622551,39502,305.6459323273469,Kumasi,58.580664033522176,172.11328125,84.0,371.0,256.0,1091.66796875,971.0,1280.0,77.5180618404448,256,27.78969122469425,26.816415786743164,28.488021850585938,0.3499596545742707,69787.17312874693,1.0,0.0,1.0,9.35242037579644,-0.9657935658923668,4152.902799047233,0.0,1.0,9.14981746673584,10.15149211883545,0.0,1.0,124.75125854016764,0.030071187158467,0.0,0.0,0.0,0.0,1.0,1.4329280799999588e-05
6,ghana,288009,Upper East,1955,0.12901906242330033,0.10365704000654503,0.029657203632496115,24446,190.19560029425884,Ouagadougou,45.54509163346613,215.9090909090909,136.0,327.0,44.0,966.2272727272727,863.0,1030.0,35.50535403695133,44,28.181722597642377,27.23491859436035,28.53587532043457,0.2909227806764046,8692.984526632581,1.0,0.0,1.0,10.779314975724574,-0.8081979019942178,4367.370610400884,0.0,0.0,8.288793563842773,8.766467094421387,0.0,1.0,15.37065637023011,0.3225397041898264,1.0,2.0,2.0,2.0,2.0,0.0002300705809233
6,ghana,288010,Upper West,1955,0.1517701683110853,0.12224318049912943,0.03924840394660476,13784,227.92729810762677,Ouagadougou,36.55676619840161,274.1566265060241,160.0,336.0,83.0,963.4939759036145,895.0,1028.0,35.62061589814632,83,27.67767667195883,27.125185012817383,28.51243782043457,0.2463909966626583,18808.734802209256,1.0,0.0,1.0,10.415193249130184,-2.2112206433144546,4394.447915193722,0.0,0.0,9.491803169250488,10.349397659301758,0.0,1.0,46.22649889853767,0.1042251287609705,0.0,1.0,1.0,1.0,1.0,5.316678716117251e-05
6,ghana,288001,Western,1965,0.562558709225867,0.45643084743889634,0.04980384211592655,54293,136.39220377892283,Kumasi,65.32389196672399,126.23762376237624,11.0,262.0,101.0,1574.4356435643565,1198.0,1931.0,165.17475988719872,101,26.385154573043973,25.80702018737793,26.817062377929688,0.2382956197513943,24317.84561050718,0.0,1.0,1.0,5.738178338967616,-2.414040230387932,2782.496963500977,0.0,1.0,7.149005889892578,8.717839241027832,1.0,1.0,66.92887208377905,0.1965962477390959,0.0,0.0,3.0,4.0,3.0,0.0001233661915636
6,ghana,288002,Central,1965,0.5478029294274301,0.43728362183754993,0.04917887261429205,45060,47.8335724688599,Cape Coast,48.96475965899496,102.40816326530611,7.0,180.0,49.0,1387.2448979591836,958.0,1602.0,152.41210656988906,49,26.35990006583077,25.80702018737793,26.988889694213867,0.2881896946918828,9635.227917027818,0.0,1.0,0.0,5.565576023477152,-1.2165840635615055,3083.3259149966034,0.0,1.0,6.561188220977783,8.860907554626465,1.0,1.0,43.51496732369232,0.3868674042827178,0.0,5.0,7.0,10.0,5.0,0.0005189290842994
